root_a,locus_a,root_b,locus_b,prompt,articulatory_distance,same_actual_axis,expected_similarity
kR,THROAT,ci,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **ci** (PALATE group) — to observe, perceive, notice; to search...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,False,3
kR,THROAT,cit,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **cit** (PALATE group) — to perceive, understand, know; to think...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,False,3
kR,THROAT,cint,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **cint** (PALATE group) — to think, reflect, consider; to imagine...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,False,3
kR,THROAT,cur,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **cur** (PALATE group) — to steal; to consume; to be crooked...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,False,3
kR,THROAT,cud,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **cud** (PALATE group) — to drive on, urge; to hasten; to sharpen...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,False,3
kR,THROAT,jan,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **jan** (PALATE group) — to be born, to arise; to generate, produce...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,True,3
kR,THROAT,jap,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **jap** (PALATE group) — to mutter, whisper; to repeat in low tones...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,True,3
kR,THROAT,jalp,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **jalp** (PALATE group) — to speak, chatter, babble; to proclaim...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,True,3
kR,THROAT,ji,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **ji** (PALATE group) — to win, conquer, overcome; to excel...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,True,3
kR,THROAT,jval,PALATE,"Two Sanskrit verbal roots:

Root A: **kR** (THROAT group) — to do, make, perform, accomplish, cause, produce...
Root B: **jval** (PALATE group) — to blaze, shine, burn; to be bright...

On a scale of 1-5, how semantically similar are these two roots?
(1 = completely unrelated, 5 = very similar in meaning)

Respond with JSON only:
{
  ""similarity"": <integer 1-5>,
  ""confidence"": <integer 0-100>,
  ""reasoning"": ""<one sentence>""
}",3,True,3
